Court,Date,Session Name,Start Time,End Time,Interval (min),Category,SubCategory,Capacity,Restrictions,Court Cost,Guest Price,Member Price
"Bubble Court 2","2025-06-04","Coaching: Caglar","15:00","16:00","60","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-04","Junior Compete U10","16:00","18:00","120","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-04","Fitness (U10+U12 2/3/4 Star)","18:00","18:30","30","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-04","Junior U12 2 Star","18:30","20:30","120","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-04","Adult 3.5","20:30","22:00","90","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-04","Booking","22:00","23:00","60","1000","0","0","None","28","0","0"
"Bubble Court 2","2025-06-04","Closed","23:00","23:30","30","8000","0","0","None","0","0","0"
"Bubble Court 2","2025-06-05","Closed","06:00","06:30","30","8000","0","0","None","0","0","0"
"Bubble Court 2","2025-06-05","All court times & fees 2","06:30","09:00","30","0","0","1","Member","0","0","0"
"Bubble Court 2","2025-06-05","Adult 3.0","09:00","10:30","90","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-05","Adult 3.5","10:30","12:00","90","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-05","All court times & fees 2","12:00","13:00","30","0","0","1","Member","0","0","0"
"Bubble Court 2","2025-06-05","Coaching: Ash","13:00","14:00","60","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-05","Coaching: Ash","14:00","15:00","60","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-05","Booking","15:00","16:00","60","1000","0","0","None","35","0","0"
"Bubble Court 2","2025-06-05","Junior Develop Orange Ball (Tue/Thu)","16:00","17:30","90","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-05","Develop Orange Ball (Higher Level)","17:30","19:00","90","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-05","Teenage Fun Tennis Group","19:00","20:30","90","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-05","Adult 3.5","20:30","22:00","90","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-05","All court times & fees 2","22:00","23:00","30","0","0","1","Member","0","0","0"
"Bubble Court 2","2025-06-05","Closed","23:00","23:30","30","8000","0","0","None","0","0","0"
"Bubble Court 2","2025-06-06","Closed","06:00","06:30","30","8000","0","0","None","0","0","0"
"Bubble Court 2","2025-06-06","Junior U15 Provincial Group","06:30","08:30","120","2000","2020","0","None","0","0","0"
"Bubble Court 2","2025-06-06","Coaching: Ethan","08:30","09:00","30","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-06","Adult 3.0","09:00","10:30","90","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-06","Adult 2.0","10:30","12:00","90","2000","2010","0","None","0","0","0"
"Bubble Court 2","2025-06-06","All court times & fees 2","12:00","14:00","30","0","0","1","Member","0","0","0"
"Bubble Court 2","2025-06-06","Booking","14:00","16:00","120","1000","0","0","None","0","0","0"
"Bubble Court 2","2025-06-06","All court times & fees 2","16:00","17:00","30","0","0","1","Member","0","0","0"
"Bubble Court 2","2025-06-06","RRT-Jazmin","17:00","20:00","180","3000","3010","0","None","0","0","0"
"Bubble Court 2","2025-06-06","All court times & fees 2","20:00","23:00","30","0","0","1","Member","0","0","0"
"Bubble Court 2","2025-06-06","Closed","23:00","23:30","30","8000","0","0","None","0","0","0"
"Bubble Court 2","2025-06-07","Closed","06:00","06:30","30","8000","0","0","None","0","0","0"
"Bubble Court 2","2025-06-07","Closed","06:30","07:00","30","8000","0","0","None","0","0","0"
"Bubble Court 2","2025-06-07","Junior Saturday Match Play","07:00","09:00","120","2000","2020","0","None","0","0","0"
"Bubble Court 2","2025-06-07","Instructor Course","09:00","17:00","480","3000","3010","0","None","0","0","0"
"Bubble Court 2","2025-06-07","RRT-Jazmin","17:00","20:00","180","3000","3010","0","None","0","0","0"
"Bubble Court 2","2025-06-07","All court times & fees 2","20:00","23:00","30","0","0","1","Member","0","0","0"
"Bubble Court 2","2025-06-07","Closed","23:00","23:30","30","8000","0","0","None","0","0","0"
"Bubble Court 2","2025-06-08","Closed","06:00","06:30","30","8000","0","0","None","0","0","0"
"Bubble Court 2","2025-06-08","Closed","06:30","07:00","30","8000","0","0","None","0","0","0"
"Bubble Court 2","2025-06-08","Closed","07:00","07:30","30","8000","0","0","None","0","0","0"
"Bubble Court 2","2025-06-08","All court times & fees 2","07:30","09:00","30","0","0","1","Member","0","0","0"
"Bubble Court 2","2025-06-08","Instructor Course","09:00","17:00","480","3000","3010","0","None","0","0","0"
"Bubble Court 2","2025-06-08","All court times & fees 2","17:00","21:00","30","0","0","1","Member","0","0","0"
"Bubble Court 2","2025-06-08","Booking","21:00","23:00","120","1000","0","0","None","63","0","0"
"Bubble Court 2","2025-06-08","Closed","23:00","23:30","30","8000","0","0","None","0","0","0"
"Bubble Court 3","2025-06-02","Closed","06:00","06:30","30","8000","0","0","None","0","0","0"
"Bubble Court 3","2025-06-02","All court times & fees 2","06:30","07:00","30","0","0","1","Member","0","0","0"
"Bubble Court 3","2025-06-02","Booking","07:00","09:00","120","1000","0","0","None","56","0","0"
"Bubble Court 3","2025-06-02","All court times & fees 2","09:00","11:30","30","0","0","1","Member","0","0","0"
"Bubble Court 3","2025-06-02","Booking","11:30","13:30","120","1000","0","0","None","70","0","0"
"Bubble Court 3","2025-06-02","All court times & fees 2","13:30","16:00","30","0","0","1","Member","0","0","0"
"Bubble Court 3","2025-06-02","Junior Compete U12-4star","16:00","18:00","120","2000","2020","0","None","0","0","0"
"Bubble Court 3","2025-06-02","Fitness (U10+U12 2star/3star/4star)","18:00","18:30","30","2000","2020","0","None","0","0","0"
"Bubble Court 3","2025-06-02","Junior Camp: Compete U12 (2+3)Star","18:30","20:30","120","2000","2020","0","None","0","0","0"
"Bubble Court 3","2025-06-02","Adult 3.5","20:30","22:00","90","2000","2010","0","None","0","0","0"
"Bubble Court 3","2025-06-02","All court times & fees 2","22:00","23:00","30","0","0","1","Member","0","0","0"
"Bubble Court 3","2025-06-02","Closed","23:00","23:30","30","8000","0","0","None","0","0","0"
"Bubble Court 3","2025-06-03","Closed","06:00","06:30","30","8000","0","0","None","0","0","0"
"Bubble Court 3","2025-06-03","All court times & fees 2","06:30","09:00","30","0","0","1","Member","0","0","0"
"Bubble Court 3","2025-06-03","Booking","09:00","11:00","120","1000","0","0","None","70","0","0"
"Bubble Court 3","2025-06-03","TBC Staff Training Session","11:00","12:00","60","4000","4010","0","None","0","0","0"
"Bubble Court 3","2025-06-03","League-D1 Day Team (Hazelmere)","12:00","14:00","120","4000","4010","0","None","0","0","0"
"Bubble Court 3","2025-06-03","Booking","14:00","16:00","120","1000","0","0","None","70","0","0"
"Bubble Court 3","2025-06-03","Junior Develop Orange Ball (Tue/Thu)","16:00","17:30","90","2000","2010","0","None","0","0","0"
"Bubble Court 3","2025-06-03","Develop U14 Group (Tuesday with Fitness @5-5:30)","17:30","19:00","90","2000","2010","0","None","0","0","0"
"Bubble Court 3","2025-06-03","Adult 4.0","19:00","20:30","90","2000","2010","0","None","0","0","0"
"Bubble Court 3","2025-06-03","Adult 3.5","20:30","22:00","90","2000","2010","0","None","0","0","0"
"Bubble Court 3","2025-06-03","All court times & fees 2","22:00","23:00","30","0","0","1","Member","0","0","0"
"Bubble Court 3","2025-06-03","Closed","23:00","23:30","30","8000","0","0","None","0","0","0"
"Bubble Court 3","2025-06-04","Closed","06:00","06:30","30","8000","0","0","None","0","0","0"
"Bubble Court 3","2025-06-04","All court times & fees 2","06:30","10:00","30","0","0","1","Member","0","0","0"
"Bubble Court 3","2025-06-04","Coaching : Owen","10:00","11:00","60","2000","2010","0","None","0","0","0"
"Bubble Court 3","2025-06-04","All court times & fees 2","11:00","16:00","30","0","0","1","Member","0","0","0"
